subyekt,nomer regiona,y1,y2,y3,y4,y5,y,god,x1
Belgorodskaya oblast ,1,33,2.3,1.5,39.5,23.7,13866.3,2016,5.38
Bryanskaya oblast ,2,41.5,2.4,1.5,30.6,24,10800.1,2016,5.38
Bladimirskaya oblast ,3,36.3,1.8,1.2,32.1,28.5,12420.2,2016,5.38
Boronezhskaya oblast ,4,37.8,0.6,2.1,36.3,23.2,12211.4,2016,5.38
Ivanovskaya oblast ,5,35.4,2.7,2.4,36.1,23.4,14918.5,2016,5.38
Kaluzhskaya oblast ,6,34.4,3.7,1.9,35.5,24.5,15170.1,2016,5.38
Kostromskaya oblast ,7,33.9,4.4,2.3,37.2,22.2,12499.1,2016,5.38
Kurskaya oblast ,8,31.1,2.3,1.3,44.2,21.1,12657.1,2016,5.38
Lipetskaya oblast ,9,34.2,1.4,1.6,38,24.8,12340.5,2016,5.38
Moskovskaya oblast ,10,25.9,3,1.3,33.4,36.2,18887.9,2016,5.38
Orlovskaya oblast ,11,31.6,1.2,1.3,42.8,23.1,12193.5,2016,5.38
Pyazanskaya oblast ,12,40.5,0.6,1.7,30,27.1,10654.9,2016,5.38
Cmolenskaya oblast ,13,43.3,1.3,1.3,28.8,25.2,10109.1,2016,5.38
Tambovskaya oblast ,14,30.5,0.6,1.6,41.1,26.2,9468.4,2016,5.38
Tverskaya oblast ,15,38.8,2.5,2.1,32.9,23.7,14427.8,2016,5.38
Tulskaya oblast ,16,37.3,1.5,1.6,34.2,25.3,13210.2,2016,5.38
Yaroslavskaya oblast ,17,33.8,2.1,2,34.2,27.9,14032.2,2016,5.38
g.Moskva ,18,26.5,6.2,2.2,35.3,29.9,27586.3,2016,5.38
Respublika Kareliya ,19,34.2,2.4,2.3,34.2,26.8,15248,2016,5.38
Respublika Komi ,20,33.1,1.7,1.9,33.1,30.3,15914.4,2016,5.38
Arkhangelskaya oblast ,21,30.5,3.4,1.9,39.9,24.2,16501,2016,5.38
Nenetskiy avt. okrug ,22,32.6,0.2,1.8,37.7,27.6,20631.9,2016,5.38
Bologodskaya oblast ,23,37.2,4.5,1.7,30.5,26,13588.8,2016,5.38
Kaliningradskaya oblast ,24,36.6,3,1.5,35.5,23.4,13623.7,2016,5.38
Leningradskaya oblast ,25,36.5,2.5,1.7,28.8,30.4,13993,2016,5.38
Murmanskaya oblast ,26,28,2.7,2.2,37.5,29.5,21230.2,2016,5.38
Hovgorodskaya oblast ,27,34.3,3.2,1.3,38.8,22.3,13674.7,2016,5.38
Pskovskaya oblast ,28,38,2.6,1.5,33.4,24.5,11780.5,2016,5.38
g. Sankt-Peterburg ,29,29.1,6.2,1.8,31.6,31.3,23327.5,2016,5.38
Respublika Adygeya ,30,38.4,1.8,1.3,34.8,23.6,11534.5,2016,5.38
Respublika Kalmykiya ,31,37.8,1.7,1.4,36,23.1,8526.3,2016,5.38
Krasnodarskiy kray ,32,31.7,2.7,1.6,42.1,21.9,14923,2016,5.38
Astrakhanskaya oblast ,33,35.7,3.2,1.8,38.6,20.7,15429,2016,5.38
Bolgogradskaya oblast ,34,31.1,0.8,1.3,43.7,23.1,13372.4,2016,5.38
Postovskaya oblast ,35,33.3,5.3,2.2,32,27.1,13254.6,2016,5.38
Respublika Krym ,36,48.5,1.9,1.6,32.6,15.4,9345.2,2016,5.38
g. Sevastopol ,37,41.4,2,2.1,36.2,18.3,13270.7,2016,5.38
Respublika Dagestan ,38,58.7,0.1,0.5,28.9,11.8,8459.2,2016,5.38
Respublika Ingushetiya ,39,44.7,2.4,0,38.1,14.9,6713.8,2016,5.38
Kabardino-Balkarskaya Respublika ,40,39.8,0.9,0.5,36.1,22.8,10259.1,2016,5.38
Karachaevo-Cherkesskaya Respublika ,41,38.5,0.7,0.7,36.2,23.9,10195,2016,5.38
Respublika Severnaya Osetiya-,42,35.8,1.2,0.5,39.4,23.1,11034.4,2016,5.38
Chechenskaya Respublika ,43,40.4,2,0,41.6,16,9887.4,2016,5.38
Ctavropolskiy kray ,44,32.7,1.9,1.7,37.6,26.2,11586.7,2016,5.38
Respublika Bashkortostan ,45,32.8,3.7,2.2,37.1,24.2,13344.4,2016,5.38
Respublika Mariy El ,46,30.3,1.5,1.5,46.4,20.3,11403.8,2016,5.38
Respublika Mordoviya ,47,37.8,1.7,1.5,35.3,23.6,9936.9,2016,5.38
Respublika Tatarstan ,48,25.9,5.9,1.9,41.9,24.3,14933.5,2016,5.38
Udmurtskaya Respublika ,49,29,3.8,2.4,38.7,26.1,12728.7,2016,5.38
Chuvashskaya Respublika ,50,32.8,2.5,1.7,37.2,25.9,9977,2016,5.38
Permskiy kray ,51,31.5,2.9,2,36.1,27.5,13090.2,2016,5.38
Kirovskaya oblast ,52,30.2,6,2.7,36.9,24.2,13272.7,2016,5.38
Hizhegorodskaya oblast ,53,26.9,4,1.7,39.9,27.5,17377.7,2016,5.38
Orenburgskaya oblast ,54,31,3.3,1.3,38.9,25.7,12136.9,2016,5.38
Penzenskaya oblast ,55,37.4,1.8,2.5,38.8,19.5,12567,2016,5.38
Camarskaya oblast ,56,33.2,3.3,2,36.5,25,15112.8,2016,5.38
Caratovskaya oblast ,57,39.9,1,1.3,32.8,25,10639.6,2016,5.38
Ulyanovskaya oblast ,58,37.8,1.8,1.3,32.2,26.9,11998,2016,5.38
Kurganskaya oblast ,59,30.4,2.9,1.5,41.8,23.4,11388.9,2016,5.38
Cverdlovskaya oblast ,60,31.2,4.3,2.2,32.5,29.8,15383.4,2016,5.38
Tyumenskaya oblast ,61,28.2,2,1.5,39,29.2,17768.9,2016,5.38
  Khanty-Mansiyskiy avt.okrug ,62,24.1,2,1.7,41.9,30.3,21797.9,2016,5.38
  Yamalo-Nenetskiy avt. okrug ,63,25.1,2.6,1.9,39.8,30.6,23442.1,2016,5.38
Chelyabinskaya oblast ,64,29.1,3.7,1.4,37.1,28.6,14517.5,2016,5.38
Respublika Altay ,65,30.6,0.6,0.9,43.9,24,9841.2,2016,5.38
Respublika Buryatiya ,66,43.7,1.9,1.3,32,21.1,10200.8,2016,5.38
Respublika Tyva ,67,36.9,1.8,1.2,38.1,22,7858.5,2016,5.38
Respublika Khakasiya ,68,32.2,1.7,1.3,40.1,24.7,11281.6,2016,5.38
Altayskiy kray ,69,31.7,1.2,1.6,41.9,23.5,11061.7,2016,5.38
Zabaykalskiy kray ,70,36.2,3.6,2.2,33.7,24.4,12368.3,2016,5.38
Krasnoyarskiy kray ,71,27.4,2,2,39.6,29.1,16952.8,2016,5.38
Irkutskaya oblast ,72,30.6,1.8,1.4,45.5,20.8,13585.2,2016,5.38
Kemerovskaya oblast ,73,33.9,1.5,1.7,37.3,25.6,11925.7,2016,5.38
Hovosibirskaya oblast ,74,32.9,2.5,2.7,38,24,12239.4,2016,5.38
Omskaya oblast ,75,35.8,4.8,2,30.3,27.1,12053.5,2016,5.38
Tomskaya oblast ,76,29.8,2,2.1,42.1,23.9,13616.1,2016,5.38
Respublika Sakha(Yakutiya) ,77,34.9,1.7,1,33.6,28.7,18202.8,2016,5.38
Kamchatskiy kray ,78,34.1,1.1,2,36.9,25.9,26713.8,2016,5.38
Primorskiy kray ,79,33.6,6.2,1.8,34,24.3,17268.6,2016,5.38
Xabarovskiy kray ,80,26.2,3.6,2,37.7,30.5,21656.4,2016,5.38
Amurskaya oblast ,81,30.9,1.4,1.7,35.3,30.8,14744.8,2016,5.38
Magadanskaya oblast ,82,40,2.4,2,29.2,26.4,22445.7,2016,5.38
Cakhalinskaya oblast ,83,31.4,2.1,1.8,38.6,26.1,20547.1,2016,5.38
Evreyskaya avt. oblast ,84,33.9,1.7,2.2,37.7,24.4,13157.6,2016,5.38
Chukotskiy avt. okrug ,85,38.8,0.4,2.2,26,32.7,23953,2016,5.38
Belgorodskaya oblast ,1,29.9,3.8,1.3,42,23,18084,2017,2.52
Bryanskaya oblast ,2,41.9,1.6,1.3,31.8,23.4,12121.8,2017,2.52
Bladimirskaya oblast ,3,35.6,1.8,1.3,35.3,26,14509,2017,2.52
Boronezhskaya oblast ,4,32.3,0.8,1.3,42.4,23.2,14269.9,2017,2.52
Ivanovskaya oblast ,5,29,2.4,2.3,41,25.3,17259,2017,2.52
Kaluzhskaya oblast ,6,34.2,2.2,2.2,40.5,20.9,17248.3,2017,2.52
Kostromskaya oblast ,7,33.1,2.5,2.2,39.3,22.9,15137.8,2017,2.52
Kurskaya oblast ,8,32.2,2.3,1.8,42.8,20.9,14842.2,2017,2.52
Lipetskaya oblast ,9,35.2,1.7,1.5,36.8,24.8,14833,2017,2.52
Moskovskaya oblast ,10,28.1,4.1,1.5,34.3,32,21297.2,2017,2.52
Orlovskaya oblast ,11,32.2,2.1,1.3,42.3,22.1,14201.8,2017,2.52
Pyazanskaya oblast ,12,38.8,1.3,0.8,36.5,22.6,12436,2017,2.52
Cmolenskaya oblast ,13,42.1,0.7,1.3,30.5,25.4,13097.8,2017,2.52
Tambovskaya oblast ,14,30.9,1.1,0.8,42.8,24.4,11429.3,2017,2.52
Tverskaya oblast ,15,39.4,2.5,2.1,30.7,25.3,14592.1,2017,2.52
Tulskaya oblast ,16,37.4,1.6,1.8,34,25.2,15226,2017,2.52
Yaroslavskaya oblast ,17,31.3,1.6,1.4,35.9,29.8,14277.1,2017,2.52
g.Moskva ,18,26,4.3,1.7,38.5,29.5,29549.7,2017,2.52
Respublika Kareliya ,19,36,1.9,2.2,35.1,24.8,16244.8,2017,2.52
Respublika Komi ,20,33.3,2.2,2.2,32.7,29.6,16313.4,2017,2.52
Arkhangelskaya oblast ,21,28.7,2.2,1.3,42.4,25.4,18844.1,2017,2.52
Nenetskiy avt. okrug ,22,33.9,0.1,2.7,27.7,35.6,21452.6,2017,2.52
Bologodskaya oblast ,23,34,3.2,2.1,34.5,26.2,15452.4,2017,2.52
Kaliningradskaya oblast ,24,35.6,3.1,1.5,36.8,23,14061.7,2017,2.52
Leningradskaya oblast ,25,30.9,2.4,1.7,37,28,17538.2,2017,2.52
Murmanskaya oblast ,26,27,2.3,2.3,37.9,30.5,23776.1,2017,2.52
Hovgorodskaya oblast ,27,32.3,2.9,0.8,36.5,27.5,14533.1,2017,2.52
Pskovskaya oblast ,28,34.6,1.4,1.9,39.2,22.9,12793.7,2017,2.52
g. Sankt-Peterburg ,29,27.4,5.5,2,36,29.1,25142.2,2017,2.52
Respublika Adygeya ,30,35.1,2.2,0.8,37.5,24.4,13095.1,2017,2.52
Respublika Kalmykiya ,31,34.1,0.8,1,43.7,20.4,10780.6,2017,2.52
Respublika Krym ,36,43.9,2.3,1.4,31.6,20.8,12115.3,2017,2.52
Krasnodarskiy kray ,32,33,2.9,1.7,36.3,26.1,16076.2,2017,2.52
Astrakhanskaya oblast ,33,35.2,2.9,1.9,35.3,24.7,14713.7,2017,2.52
Bolgogradskaya oblast ,34,34.1,1.5,1.4,37.6,25.4,13874.6,2017,2.52
Postovskaya oblast ,35,32.7,4.6,2.7,32.5,27.5,15394.8,2017,2.52
g. Sevastopol ,37,51.6,1.1,1.9,26.9,18.5,18164.3,2017,2.52
Respublika Dagestan ,38,58.5,0.2,0.4,27.3,13.6,9581.7,2017,2.52
Respublika Ingushetiya ,39,59.7,0.4,0,29.4,10.5,7483.3,2017,2.52
Kabardino-Balkarskaya respublika ,40,40.4,0.6,0.6,39.1,19.3,11443.5,2017,2.52
Karachaevo-Cherkesskaya Respublika,41,32.7,1.3,0.2,37.8,28,10581.1,2017,2.52
Respublika Severnaya Osetiya-Alaniya,42,39.1,1.1,0.5,37.2,22.1,11403.3,2017,2.52
Chechenskaya Respublika ,43,32.8,1.2,0,43.3,22.7,10618.8,2017,2.52
Ctavropolskiy kray ,44,31.2,2.6,1.9,34.4,29.9,12608.7,2017,2.52
Respublika Bashkortostan ,45,31.5,3,1.5,40.2,23.8,15725.8,2017,2.52
Respublika Mariy El ,46,34.4,1.7,1.9,35.8,26.2,10330.1,2017,2.52
Respublika Mordoviya ,47,39.6,1.8,1.8,34.9,21.9,11257.4,2017,2.52
Respublika Tatarstan ,48,25.9,3.8,1.7,44.1,24.5,15990.8,2017,2.52
Udmurtskaya Respublika ,49,26.9,4,1.9,41.8,25.4,16086.6,2017,2.52
Chuvashskaya Respublika ,50,36.5,2.8,1.5,33.7,25.5,9730,2017,2.52
Permskiy kray ,51,28.8,2.6,1.8,40.5,26.3,15775.6,2017,2.52
Kirovskaya oblast ,52,31.7,3.5,2.6,37.5,24.7,14010.6,2017,2.52
Hizhegorodskaya oblast ,53,29.2,3.1,1.2,33.2,33.3,16775.3,2017,2.52
Orenburgskaya oblast ,54,29.8,2.4,1.3,44.2,22.3,14369,2017,2.52
Penzenskaya oblast ,55,34.9,5.5,1.8,36.5,21.3,13435.8,2017,2.52
Camarskaya oblast ,56,31.7,2.7,1.8,36,27.8,15056.6,2017,2.52
Caratovskaya oblast ,57,42.3,1.6,1.3,28.9,25.9,11047.7,2017,2.52
Ulyanovskaya oblast ,58,36.9,2.1,1.1,32.9,27,12050.5,2017,2.52
Kurganskaya oblast ,59,30.2,0.6,1.6,47.4,20.2,12623.1,2017,2.52
Cverdlovskaya oblast ,60,31,4.3,1.6,33.3,29.8,17630.7,2017,2.52
Tyumenskaya oblast ,61,29.4,1.4,1.5,41.4,26.3,19316.5,2017,2.52
  Khanty-Mansiyskiy avt.okrug ,62,24.4,1.7,1.5,45.9,26.5,23009.5,2017,2.52
  Yamalo-Nenetskiy avt. okrug ,63,31.1,1.1,2.9,30.7,34.2,20416.8,2017,2.52
Chelyabinskaya oblast ,64,30.4,2.7,1.4,37.1,28.4,14430.8,2017,2.52
Respublika Altay ,65,30.7,1,1,43.8,23.5,10793.4,2017,2.52
Respublika Buryatiya ,66,32.8,2.5,1,39.7,24,11749.6,2017,2.52
Respublika Tyva ,67,36.6,2.2,1.2,37.5,22.5,8411.9,2017,2.52
Respublika Khakasiya ,68,31.2,1.4,1.6,42.8,23,13317.5,2017,2.52
Altayskiy kray ,69,33.8,1.2,1.8,38.6,24.6,11979.7,2017,2.52
Zabaykalskiy kray ,70,33.7,3,2.1,37.2,24,13379,2017,2.52
Krasnoyarskiy kray ,71,28.7,2.2,1.9,37.7,29.5,17765,2017,2.52
Irkutskaya oblast ,72,33.3,1.4,1.1,39.7,24.5,13049.7,2017,2.52
Kemerovskaya oblast ,73,34.8,1.2,1.8,37,25.2,11866.9,2017,2.52
Hovosibirskaya oblast ,74,31.9,6.1,2,41,19,13779.2,2017,2.52
Omskaya oblast ,75,33.4,2.6,1.7,30.8,31.5,12812.3,2017,2.52
Tomskaya oblast ,76,28.4,2.5,1.4,41.2,26.5,16538.9,2017,2.52
Respublika Sakha(Yakutiya) ,77,30.6,4.6,1.3,32,31.5,22611.5,2017,2.52
Kamchatskiy kray ,78,27.7,2.2,1.8,40.8,27.5,30416.9,2017,2.52
Primorskiy kray ,79,30,3.8,1.7,35.8,28.7,18025.5,2017,2.52
Xabarovskiy kray ,80,27.1,3,2.1,35.3,32.5,20744.3,2017,2.52
Amurskaya oblast ,81,31,1.4,1.7,35.8,30.1,14534.3,2017,2.52
Magadanskaya oblast ,82,36.3,1.4,1.1,30.2,31,24066.1,2017,2.52
Cakhalinskaya oblast ,83,30.1,1,1.3,41.5,26.1,25126.5,2017,2.52
Evreyskaya avt. oblast ,84,31.2,1.9,2.7,41.3,22.9,14866.3,2017,2.52
Chukotskiy avt. okrug ,85,39.8,0.2,2.1,28.4,29.5,24621.2,2017,2.52
Belgorodskaya oblast ,1,30.6,2.05,1325,43425,22575,16683.68,2018,4.27
Bryanskaya oblast ,2,36.8,1675,1.55,38225,21725,13723.05,2018,4.27
Bladimirskaya oblast ,3,36.45,1.3,1125,33.45,27675,14603.5,2018,4.27
Boronezhskaya oblast ,4,32.45,675,1125,39.6,26.2,15762.58,2018,4.27
Ivanovskaya oblast ,5,29.83,1.7,2375,38775,27.3,17182.45,2018,4.27
Kaluzhskaya oblast ,6,30.85,2225,1.4,43475,22.05,17920.35,2018,4.27
Kostromskaya oblast ,7,34.78,1975,2.35,36825,24.1,14880.78,2018,4.27
Kurskaya oblast ,8,32.6,1675,1725,42.5,21.45,15039.45,2018,4.27
Lipetskaya oblast ,9,33.78,3025,1.2,36.85,25125,15194.23,2018,4.27
Moskovskaya oblast ,10,25.35,3175,1325,38325,31.85,23531.58,2018,4.27
Orlovskaya oblast ,11,33.2,1525,1.2,40075,24,13598.75,2018,4.27
Ryazanskaya oblast ,12,40.73,1425,1.1,31025,25.75,10951.93,2018,4.27
Smolenskaya oblast ,13,45.48,0.45,0.95,29475,23675,13805.15,2018,4.27
Tambovskaya oblast ,14,29.83,1.4,0.55,41.8,26425,12428.98,2018,4.27
Tverskaya oblast ,15,37.65,1775,1.95,32475,26.1,14549.35,2018,4.27
Tulskaya oblast ,16,38.53,1.4,1.8,31.35,26925,15389.9,2018,4.27
Yaroslavskaya oblast ,17,31.98,2.9,1.55,33575,30,15542.18,2018,4.27
g. Moskva ,18,24.53,5625,1875,35.95,32,31277.43,2018,4.27
Respublika Kareliya ,19,31.53,1.35,1.9,41.4,23.85,17438.63,2018,4.27
Respublika Komi ,20,32.4,1925,1675,34775,29.2,16980.03,2018,4.27
Arkhangelskaya oblast ,21,29.83,3175,1625,38.7,26.7,19030.5,2018,4.27
Nenetsskiy avtonomnyy okrug,22,32.53,0,2325,30.6,34.55,23036.53,2018,4.27
Bologodskaya oblast ,23,34.33,3375,1.7,35225,25375,17024.1,2018,4.27
Kaliningradskaya oblast ,24,33.55,5.15,1.35,37.25,22.7,14896.15,2018,4.27
Leningradskaya oblast ,25,33.48,2675,1575,32.15,30125,16470,2018,4.27
Murmanskaya oblast ,26,25.3,2.55,2275,38825,31.05,25573.35,2018,4.27
Novgorodskaya oblast ,27,34.18,2525,1.05,33925,28325,13571.75,2018,4.27
Pskovskaya oblast ,28,35.03,1.75,1.95,36025,25.25,13116.85,2018,4.27
g. Sankt-Peterburg ,29,27.5,4.85,1725,32.25,33675,23922,2018,4.27
Respublika Adygeya ,30,33.35,1.65,0.85,39.1,25.05,14544.45,2018,4.27
